stage,iteration,elapsed_seconds,peak_rss_bytes
b1-b2,1,0.37,19963904
b1-b2,2,0.37,19963904
b1-b2,3,0.37,19963904
b1-b2,4,0.37,19963904
b1-b2,5,0.37,19963904
b1-b2,6,0.37,19963904
b1-b2,7,0.37,19959808
b2-b3,1,0.37,19963904
b2-b3,2,0.37,19963904
b2-b3,3,0.37,19963904
b2-b3,4,0.37,19963904
b2-b3,5,0.37,19963904
b2-b3,6,0.37,19963904
b2-b3,7,0.37,19963904
b3-b4,1,0.37,19963904
b3-b4,2,0.37,19955712
b3-b4,3,0.37,19947520
b3-b4,4,0.37,19959808
b3-b4,5,0.37,19963904
b3-b4,6,0.37,19963904
b3-b4,7,0.37,19963904
